(( 1.3085 ), 2.3408250119876 )
(( -2.775 ), -2.3395008528128 )
(( -0.852 ), 1.1190874369926 )
(( -1.769 ), 1.1441066952264 )
(( -0.8125 ), 1.4588513170154 )
(( -1.017 ), -1.430367689489 )
(( -0.1245 ), 5.8478691176512 )
(( -0.232 ), 1.4384477882587 )
(( -2.4925 ), -0.87087674934435 )
(( 0.898 ), 3.7352357628249 )
(( 2.321 ), 3.9713215748114 )
(( -1.252 ), 0.87267623574566 )
(( -2.984 ), 9.3354542289767 )
(( -1.802 ), 0.14926902689242 )
(( 2.9495 ), 5.5080741300376 )
(( 1.167 ), 3.5572979499874 )
(( 0.9935 ), 4.7197448671503 )
(( -1.8805 ), -0.30484123384779 )
(( -1.4095 ), 10.378337470852 )
(( -2.5585 ), -2.0413871022152 )
(( 2.529 ), 5.7531476771366 )
(( -2.0975 ), 2.2763602889061 )
(( 2.278 ), 3.8012930019301 )
(( -1.8795 ), -0.14462632555565 )
(( -0.417 ), 2.389398897179 )
(( -1.4395 ), 11.43545837493 )
(( 0.7995 ), 3.2080248617408 )
(( 2.5895 ), 6.3543304556093 )
(( -2.8055 ), -1.1375707232985 )
(( -2.9075 ), 4.7627040044872 )
(( 0.325 ), 1.9239137253177 )
(( -0.4935 ), 3.6650321380874 )
(( -2.1265 ), 2.1226770975206 )
(( 0.788 ), 3.105333730834 )
(( -0.501 ), 3.3270212613888 )
(( 2.9175 ), 4.4327840440284 )
(( -2.9735 ), 8.8031057274858 )
(( -0.71 ), 2.1093358046193 )
(( -2.4615 ), -0.49935841828058 )
(( 2.6805 ), 5.7276929956031 )
(( -1.31 ), 4.3946749059616 )
(( 1.194 ), 3.2169907459065 )
(( -2.112 ), 2.180886823301 )
(( -1.043 ), -1.8239003584246 )
(( -0.3355 ), 1.0772608712665 )
(( 2.2095 ), 2.9081039310572 )
(( -0.5255 ), 3.6395338899711 )
(( 2.883 ), 3.7835162975378 )
(( -0.206 ), 2.2510940386463 )
(( 1.798 ), 9.1582940164401 )
(( 2.3525 ), 4.3112218624593 )
(( 0.423 ), -1.0490746672825 )
(( -0.1975 ), 2.2740082635069 )
(( -1.1905 ), -1.4755195124041 )
(( -2.2755 ), 0.83635542884946 )
(( 1.6425 ), 15.191056371847 )
(( 1.1755 ), 3.5964738028164 )
(( -2.016 ), 1.5057238138649 )
(( -2.0935 ), 2.2805137074728 )
(( -2.134 ), 2.2317470938442 )
(( -1.883 ), -0.15949825165056 )
(( -0.9685 ), -0.38846741069197 )
(( -2.397 ), -0.034865714591652 )
(( -0.3705 ), 1.7301714215033 )
(( 0.5745 ), 0.49782024552736 )
(( -1.375 ), 8.3234117639523 )
(( 0.803 ), 3.2737370837625 )
(( 0.349 ), 0.9616408218201 )
(( 2.3685 ), 4.418506564977 )
(( -2.396 ), -0.034768163543046 )
(( 1.2725 ), 2.0441096593381 )
(( 0.2085 ), 9.130905732731 )
(( 1.567 ), 13.518606806984 )
(( 1.6835 ), 14.82370352147 )
(( -1.694 ), 4.6865784306113 )
(( 2.762 ), 4.6132956797903 )
(( -1.8645 ), -0.43958217271913 )
(( -2.714 ), -3.6765232310835 )
(( -1.597 ), 10.038843316936 )
(( 0.636 ), 1.6132294815504 )
(( -2.186 ), 1.8889944491077 )
(( -0.993 ), -0.9607639990011 )
(( 1.687 ), 14.881862936091 )
(( 1.9205 ), 2.1410664107497 )
(( 1.1805 ), 3.2801481922473 )
(( -0.0445 ), 10.32179652257 )
(( -0.691 ), 2.3318084795185 )
(( -0.0045000000000002 ), 12.410737107845 )
(( 0.6925 ), 2.3446602096422 )
(( 2.853 ), 3.6379263507765 )
(( -2.0755 ), 2.0832257697959 )
(( 0.0905 ), 13.974345457227 )
(( 2.5105 ), 5.6754115615876 )
(( -2.4725 ), -0.5891769804026 )
(( -1.0815 ), -2.294607946361 )
(( -0.4195 ), 2.55369845215 )
(( 2.1695 ), 2.329891323811 )
(( 2.43 ), 5.0307914307429 )
(( -2.7715 ), -2.4688540795734 )
(( -0.41 ), 2.4078408344389 )
(( -2.682 ), -3.9001170056232 )
(( 0.6765 ), 2.0468435073896 )
(( 1.582 ), 14.208480951349 )
(( 2.7945 ), 4.0363679198224 )
(( -1.735 ), 2.5165431755772 )
(( -0.9395 ), 0.11716981519207 )
(( -1.308 ), 4.2821591919799 )
(( 0.494 ), -1.0318906233517 )
(( -1.615 ), 9.066085588679 )
(( 2.919 ), 4.2461001870513 )
(( 1.2675 ), 2.2278337230134 )
(( -0.168 ), 3.5169373004749 )
(( 2.791 ), 4.1724348129323 )
(( 1.356 ), 3.3001012947769 )
(( 0.7235 ), 2.7629434944287 )
(( 2.94 ), 5.1420571863378 )
(( 0.8755 ), 3.5757530898876 )
(( 1.529 ), 11.749295645191 )
(( 0.1 ), 13.658372054249 )
(( 2.218 ), 3.004737600386 )
(( -0.3845 ), 2.0049113452366 )
(( -0.294 ), 0.9341817753765 )
(( 0.2355 ), 7.415647894979 )
(( -2.8945 ), 4.1637090031112 )
(( -0.699 ), 2.2361286056383 )
(( -0.89 ), 0.79160569922229 )
(( -0.818 ), 1.51306986277 )
(( 0.088 ), 13.841228214524 )
(( -0.051 ), 10.092746517099 )
